TCGA-A5-A0G1	TCGA-A5-A0G2	TCGA-A5-A0G5	TCGA-A5-A0G9	TCGA-A5-A0GA	TCGA-A5-A0GB	TCGA-A5-A0GD	TCGA-A5-A0GE	TCGA-A5-A0GG	TCGA-A5-A0GH	TCGA-A5-A0GI	TCGA-A5-A0GJ	TCGA-A5-A0GM	TCGA-A5-A0GN	TCGA-A5-A0GP	TCGA-A5-A0GQ	TCGA-A5-A0GR	TCGA-A5-A0GU	TCGA-A5-A0GV	TCGA-A5-A0GW	TCGA-A5-A0GX	TCGA-A5-A0R6	TCGA-A5-A0R7	TCGA-A5-A0R8	TCGA-A5-A0R9	TCGA-A5-A0RA	TCGA-A5-A0VP	TCGA-A5-A0VQ	TCGA-A5-A1OF	TCGA-A5-A1OG	TCGA-A5-A1OJ	TCGA-A5-A1OK	TCGA-AJ-A23M	TCGA-AJ-A23O	TCGA-AP-A051	TCGA-AP-A052	TCGA-AP-A053	TCGA-AP-A054	TCGA-AP-A056	TCGA-AP-A059	TCGA-AP-A05A	TCGA-AP-A05D	TCGA-AP-A05H	TCGA-AP-A05J	TCGA-AP-A05N	TCGA-AP-A05O	TCGA-AP-A05P	TCGA-AP-A0L8	TCGA-AP-A0L9	TCGA-AP-A0LD	TCGA-AP-A0LE	TCGA-AP-A0LF	TCGA-AP-A0LG	TCGA-AP-A0LH	TCGA-AP-A0LI	TCGA-AP-A0LJ	TCGA-AP-A0LL	TCGA-AP-A0LM	TCGA-AP-A0LN	TCGA-AP-A0LO	TCGA-AP-A0LP	TCGA-AP-A0LS	TCGA-AP-A0LT	TCGA-AP-A0LV	TCGA-AP-A1DH	TCGA-AP-A1DK	TCGA-AP-A1DM	TCGA-AP-A1DO	TCGA-AP-A1DP	TCGA-AP-A1DQ	TCGA-AP-A1DR	TCGA-AP-A1DV	TCGA-AP-A1E0	TCGA-AP-A1E1	TCGA-AP-A1E3	TCGA-AP-A1E4	TCGA-AW-A1PO	TCGA-AX-A05S	TCGA-AX-A05T	TCGA-AX-A05U	TCGA-AX-A05W	TCGA-AX-A05Y	TCGA-AX-A05Z	TCGA-AX-A060	TCGA-AX-A062	TCGA-AX-A063	TCGA-AX-A064	TCGA-AX-A06B	TCGA-AX-A06D	TCGA-AX-A06F	TCGA-AX-A06H	TCGA-AX-A06J	TCGA-AX-A06L	TCGA-AX-A0IS	TCGA-AX-A0IU	TCGA-AX-A0IW	TCGA-AX-A0IZ	TCGA-AX-A0J0	TCGA-AX-A0J1	TCGA-AX-A1C4	TCGA-AX-A1C5	TCGA-AX-A1C7	TCGA-AX-A1C8	TCGA-AX-A1C9	TCGA-AX-A1CA	TCGA-AX-A1CC	TCGA-AX-A1CE	TCGA-AX-A1CF	TCGA-AX-A1CI	TCGA-AX-A1CJ	TCGA-AX-A1CK	TCGA-AX-A1CN	TCGA-AX-A1CP	TCGA-AX-A1CR	TCGA-AX-A2H5	TCGA-AX-A2H8	TCGA-AX-A2HC	TCGA-AX-A2HD	TCGA-AX-A2HF	TCGA-AX-A2HG	TCGA-AX-A2HH	TCGA-AX-A2HJ	TCGA-AX-A2HK	TCGA-B5-A0JN	TCGA-B5-A0JR	TCGA-B5-A0JS	TCGA-B5-A0JT	TCGA-B5-A0JV	TCGA-B5-A0JX	TCGA-B5-A0JY	TCGA-B5-A0JZ	TCGA-B5-A0K0	TCGA-B5-A0K1	TCGA-B5-A0K2	TCGA-B5-A0K3	TCGA-B5-A0K4	TCGA-B5-A0K6	TCGA-B5-A0K7	TCGA-B5-A0K8	TCGA-B5-A0K9	TCGA-B5-A11E	TCGA-B5-A11F	TCGA-B5-A11G	TCGA-B5-A11H	TCGA-B5-A11I	TCGA-B5-A11J	TCGA-B5-A11N	TCGA-B5-A11O	TCGA-B5-A11Q	TCGA-B5-A11R	TCGA-B5-A11S	TCGA-B5-A11U	TCGA-B5-A11V	TCGA-B5-A11W	TCGA-B5-A11Y	TCGA-B5-A11Z	TCGA-B5-A121	TCGA-B5-A1MR	TCGA-B5-A1MU	TCGA-B5-A1MV	TCGA-B5-A1MW	TCGA-B5-A1MX	TCGA-B5-A1MY	TCGA-B5-A1MZ	TCGA-B5-A1N2	TCGA-BG-A0LW	TCGA-BG-A0LX	TCGA-BG-A0M0	TCGA-BG-A0M2	TCGA-BG-A0M3	TCGA-BG-A0M4	TCGA-BG-A0M6	TCGA-BG-A0M7	TCGA-BG-A0M8	TCGA-BG-A0M9	TCGA-BG-A0MA	TCGA-BG-A0MC	TCGA-BG-A0MG	TCGA-BG-A0MI	TCGA-BG-A0MO	TCGA-BG-A0MQ	TCGA-BG-A0MS	TCGA-BG-A0MT	TCGA-BG-A0MU	TCGA-BG-A0RY	TCGA-BG-A0VT	TCGA-BG-A0VV	TCGA-BG-A0VW	TCGA-BG-A0VX	TCGA-BG-A0VZ	TCGA-BG-A0W1	TCGA-BG-A0W2	TCGA-BG-A0YU	TCGA-BG-A0YV	TCGA-BG-A186	TCGA-BG-A187	TCGA-BG-A18A	TCGA-BG-A18B	TCGA-BG-A18C	TCGA-BG-A220	TCGA-BG-A221	TCGA-BG-A222	TCGA-BG-A2AD	TCGA-BG-A2AE	TCGA-BK-A0C9	TCGA-BK-A0CA	TCGA-BK-A0CB	TCGA-BK-A0CC	TCGA-BK-A139	TCGA-BK-A13C	TCGA-BK-A26L	TCGA-BS-A0T9	TCGA-BS-A0TA	TCGA-BS-A0TC	TCGA-BS-A0TD	TCGA-BS-A0TE	TCGA-BS-A0TG	TCGA-BS-A0TI	TCGA-BS-A0TJ	TCGA-BS-A0U5	TCGA-BS-A0U7	TCGA-BS-A0U8	TCGA-BS-A0UA	TCGA-BS-A0UF	TCGA-BS-A0UJ	TCGA-BS-A0UL	TCGA-BS-A0UT	TCGA-BS-A0UV	TCGA-BS-A0V4	TCGA-BS-A0V6	TCGA-BS-A0V7	TCGA-BS-A0V8	TCGA-BS-A0VI	TCGA-BS-A0WQ	TCGA-D1-A0ZN	TCGA-D1-A0ZO	TCGA-D1-A0ZP	TCGA-D1-A0ZQ	TCGA-D1-A0ZR	TCGA-D1-A0ZS	TCGA-D1-A0ZU	TCGA-D1-A0ZV	TCGA-D1-A0ZZ	TCGA-D1-A101	TCGA-D1-A102	TCGA-D1-A103	TCGA-D1-A15V	TCGA-D1-A15W	TCGA-D1-A15X	TCGA-D1-A15Z	TCGA-D1-A160	TCGA-D1-A161	TCGA-D1-A163	TCGA-D1-A165	TCGA-D1-A167	TCGA-D1-A168	TCGA-D1-A169	TCGA-D1-A16B	TCGA-D1-A16D	TCGA-D1-A16E	TCGA-D1-A16G	TCGA-D1-A16I	TCGA-D1-A16J	TCGA-D1-A16N	TCGA-D1-A16O	TCGA-D1-A16Q	TCGA-D1-A16R	TCGA-D1-A16S	TCGA-D1-A16V	TCGA-D1-A16X	TCGA-D1-A16Y	TCGA-D1-A174	TCGA-D1-A175	TCGA-D1-A176	TCGA-D1-A177	TCGA-D1-A179	TCGA-D1-A17A	TCGA-D1-A17B	TCGA-D1-A17C	TCGA-D1-A17D	TCGA-D1-A17F	TCGA-D1-A17H	TCGA-D1-A17K	TCGA-D1-A17L	TCGA-D1-A17M	TCGA-D1-A17N	TCGA-D1-A17Q	TCGA-D1-A17R	TCGA-D1-A17S	TCGA-D1-A17T	TCGA-D1-A17U	TCGA-D1-A1NS	TCGA-D1-A1NU	TCGA-D1-A1NW	TCGA-D1-A1NX	TCGA-D1-A1NY	TCGA-D1-A1NZ	TCGA-D1-A1O0	TCGA-D1-A1O5	TCGA-D1-A1O7	TCGA-D1-A1O8	TCGA-D1-A2G0	TCGA-D1-A2G5	TCGA-D1-A2G6	TCGA-DI-A0WH	TCGA-DI-A1BU	TCGA-DI-A1BY	TCGA-DI-A1C3	TCGA-DI-A1NN	TCGA-DI-A1NO	TCGA-E6-A1LX	TCGA-E6-A1LZ	TCGA-E6-A1M0	TCGA-EC-A1NJ	TCGA-EC-A1QX	TCGA-EC-A24G	TCGA-EO-A1Y5	TCGA-EO-A1Y7	TCGA-EO-A1Y8	TCGA-EY-A1G7	TCGA-EY-A1G8	TCGA-EY-A1GC	TCGA-EY-A1GD	TCGA-EY-A1GE	TCGA-EY-A1GF	TCGA-EY-A1GH	TCGA-EY-A1GI	TCGA-EY-A1GK	TCGA-EY-A1GL	TCGA-EY-A1GM	TCGA-EY-A1GO	TCGA-EY-A1GP	TCGA-EY-A1GQ	TCGA-EY-A1GR	TCGA-EY-A1GS	TCGA-EY-A1GT	TCGA-EY-A1GU	TCGA-EY-A1GV	TCGA-EY-A1GW	TCGA-EY-A1GX	TCGA-EY-A1H0	TCGA-EY-A210	TCGA-EY-A212	TCGA-EY-A214	TCGA-EY-A215	TCGA-FI-A2CX	TCGA-FI-A2CY	TCGA-FI-A2D0	TCGA-FI-A2D2	TCGA-FI-A2D4	TCGA-FI-A2D5	TCGA-FI-A2D6	TCGA-FI-A2EU	TCGA-FI-A2EW	TCGA-FI-A2EX	TCGA-FI-A2F4	TCGA-FI-A2F8	TCGA-FI-A2F9
11p	0	0	0	0	0	0	0	0	0	0	0	-0.804	0	-0.491	0	0	-0.413	0	0	0	0	0	0	0	0	0	0	0	0	-0.114	0	0	-0.572	0	0	0	0	0	0	0	-0.947	0	0	0	0	0	0	0.181	0	0	0	-0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.645	0	0	0	0	0	0	0.53	0.38	0	0	0	0	0	0	0	0	-0.016	0	0	0	0	0	0	0	0	-0.63	0	0	0	0	0	0	0	0	0	0	0	0	0.597	0	0	0	0	0	0	0	-0.741	0.794	0	0	-0.631	0	0	0	0	0	0	0	0	0	-0.882	0	0	0	0	0	0	0	0	0	0.104	0	0	0	0	0	-0.365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	-0.343	0	0	0	0	0.232	0	0	0	0	0	0	0	0	0.159	-0.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.259	0	0	0	0	0.223	0	0	0	0	0	-0.714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.759	0	0	-0.667	0	0	0	0	0	0	0	0	0	0	0.263	-0.563	0	0	0	0	0	0	0	-0.882	-0.381	0	0	0	0	0	0	0	0	0	0	0	-0.698	-0.811	0	-0.593	-0.59	0	0	0	0	0	0	0	0	-0.409	0	0	0	0	-0.271	0	0	0	0	0	0	0	-0.263	0
11q	0	0	0	0	0	0	0	0	0	0	0	-0.117	0	-0.491	0	0	-0.413	0	0	0	0	0	0	0	0	0	0	0	0	-0.114	0	0	-0.572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181	0	0	0	-0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	0.38	0	0	0	0	0	0	0	0	-0.63	0	0	0	0	0	0	0	0	0.71	0	0	0	0.597	0	0	0	0	0	0	0	-0.741	0.794	0	0	-0.631	0	0	0	0	0	0	0	0	0	-0.882	0	0	0	0	0	0	0	0	0	0.104	0	0	0	0	0	0	0	0	0	0.653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128	0	0	0	0	0	0	0	-0.343	0	0	0	0	0.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.788	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.356	0	0	0	0	0.223	0	0	0	0	0	-0.214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.759	0	0	0.144	0	0	0	0	0	0	0	0	0	0	-0.259	-0.563	0	0	0	0	0	0	0	-0.882	-0.381	0	0	0	0	0	0	0	0	0	0	0	-0.698	-0.811	0	-0.593	-0.59	0	0	0	-0.798	0	0	-0.668	0	-0.409	0	0	0	0	-0.271	0	0	0	-0.188	0	0	0	0	0
12p	0	0.39	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15	0	0	0	0	0	0	0.286	0	0	0.21	0	0	-0.108	0	0	0	0	0	0	-0.514	0	0	0	0.461	0	0	0	0	0	0	0	-0.151	0	0	0	0	-0.109	0	0	0	0	0	0	0	0.699	0	0.357	0	0	0	0	0	0.797	0	0	0	0	0.144	0	0	0	0	0	0	-0.668	0	0	0	0	0	0	0	0.409	0	0	0.101	0	0	0	0	0	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0.778	0	0	0	0	0.212	0	0	0	0	0	0	0	0	0	0	-0.709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637	0	0	0.728	0	0	0	0	0	0	0	0	0	0	0	0.604	0	0	0	0.646	0	0	1.704	0	0.11	0	0	0	0.766	0	0	0	0	0	0	0	0	0	0	0	0	0.731	0	0	-0.368	0	0	0	0	0.183	0	0	0	0	0.613	0	0	0	0	-0.389	0	0	0	0	0	0	0.623	0	0.63	0	0	0	0	0	0	0	0	0	0	0	0	0.236	-0.423	0	0	0	0	0	0	0	0	0	0	-0.398	0	0	0	-0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0	0	-0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0.768	0	0	0	0	0.299	0.182	0	0	0.254	0	0	0	0	0	0	0	0	0	0.293	0	0	0	0	0	0	0	0	0.376	0	0	0.582	-0.569	0	0	0	-0.113	0	0.866	0.81	-0.172	0	0	0	0	0	0.134	0	0	0.798	-0.777	0	-0.39	0	0	0
12q	0	0.39	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.312	0.15	0	0	0	0	0	0	0	0	0	0.21	0	0	-0.108	0	0	0	0	0	0	-0.514	0	0	0	0.461	0	0	0	0	0	0	0	-0.151	0	0	0	0	-0.109	0	0	0	0	0	0	0	0.699	0	0	0	0	0	0	0	0.797	0	0	0	0	0.144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.409	0	0	0.101	0	0	0	0	0	0.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.637	0	0	0.728	0	0	0	0	0	0	0	0	0	0	0	0.333	0	0	0	0.646	0	0	0	0	0.11	0	0	0	0.766	0	0	0	0	0	0	0	0	0	0	0	0	0.731	0	0	-0.368	0	0	0	0	0.183	0	0	0	0	0.613	0	0	0	0	-0.389	0	0	0	0	0	0	0.623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236	0	0	0	0	0	0	0	0	0	0	0	-0.398	0	0	0	-0.378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.779	0	0	-0.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13	0	0	0	0	0.768	0	0	0	0	0.299	0.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.376	0	0	0.582	0	0	0	0	-0.113	0	0.866	0.81	-0.172	0.424	0	0	0	0	0.134	0	0	0.798	-0.109	0	-0.39	0	0	0
13q	0	-0.389	0	0	0	0	0	0	0	0	0	0	0	-0.506	0	0	0	0	0	0	0	0	-0.18	0	0	0	-0.825	0	0	0.882	0	0	0.44	0	0	0	0	0	0	0	0	0	-0.533	0	0	0	-0.125	0.717	0.831	0	0	0.284	0	0	-0.517	0	0	0	0	-0.123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.839	0	0	0	0	0	0	0	0	0	0	-0.682	0	0	0	0	0	0	0	0.231	0	0	0	0	0	0	0	-0.72	0	0	0	-0.674	0	0	-0.89	0	-0.614	0	0	0	0	0	0	0	0	0	-0.403	0.309	0	0	0	0	0	0	0	0	0	0	-0.122	0	0	0	0.136	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.466	0	-0.4	0	0	0	0	0	0	-0.131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.797	0	0	0	0	-0.714	0	0	0	0	-0.595	0	0	0	0	-0.249	0	0.54	0	0	0	0	0	0	-0.356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.693	0	0	0	0	0	0	0.423	0	0	-0.193	0	0	0	0	0.117	0	-0.817	0	0	-1.293	0.686	-0.745	0	0	0	0	0	0	-0.788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.194	-0.507	0	0	0	0	0	0	0.711	-0.901	0	0	0	-0.469	0	0	0	0	0	0	0	0	0.367	-0.788	0	-0.202	0	0	0	-0.3	-0.795	0	0	1.511	0	0.596	0	0	0	0	0	0	0	0	0	0	-0.423	0	-0.457	0.828
14q	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.49	0	0	0	0	0	0	0	-0.278	-0.642	0	0	0	0	0	0	-0.11	0	0.173	-0.605	0	0	0	0	0	0	0	0	0	-0.528	-0.848	0	0	0	-0.483	-0.545	0	0	0	0	0	-0.466	0	0	0	0	-0.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.181	0	0	0	0	0	0	0	0	-0.469	0.157	0	0	0	0	0	0	0	0.147	0	0	0	0	0	0	0	0	0	-0.565	0.781	0	0	0	0	0	0	0	0	0	-0.834	0.819	0	0	-0.49	0	0	0	0	0	-0.547	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276	0	0	0	-0.107	0	0	0	0	0	0	0	0	-0.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.673	0	0	0	0	0	0.707	0	0	-0.466	-0.487	0	0.226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.561	0	0	0	0	-0.722	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.769	-0.34	0	0	0	0.153	0	0	0	0	0.829	0	0	0	0	0	-0.184	-0.507	0	0	0.54	0	0	0	0	0	0	0	0	1.017	0	0	0	0	0	0	0	0	-0.693	0	0	-0.16	-0.564	0	0	0	0.175	0	0	0	0	-0.189	0	0	-1.293	0	0.134	0	0	0	0	0.533	0.359	0	0	-0.382
15q	0	0	0	0	0	0	0	0	0	0	0	-0.76	0	-0.458	0	0	0	0	0	0	0	-0.266	-0.624	0	0	0	0	0	0	-0.411	0	0	-0.629	0	0	-0.868	-0.95	0	0	0	0	0	-0.498	0	0	0	0	-0.436	-0.42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.625	0	0	0	0	0	0	0	-0.178	0	0	0	0	0	0	0	-0.706	-0.294	-0.13	0	0	0	0	0	0	0	-0.587	0	-0.722	0	0	0	0	0	0	-0.442	-0.166	0	0	0	0	0	0	0	0	0	0	-0.627	0	0	0	-0.447	0	0	0	0	0	0.189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.62	0	0	0	0	0	0	0	0	0	0	0	-0.18	0	0	0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.353	0	0	0	0	0	-0.714	0	0	0	0	-0.394	0	0.574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128	0	-0.786	0	0	0	-0.381	-0.767	0	0	0	0	0	0	-0.794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213	0	0	-0.382	0.527	0	0	0	0	0	-0.43	0	0	-0.228	0	0	0	0	0	0	0	0	-0.658	-0.828	0	0	0	0	0	0	0.839	0	0	-0.83	-0.729	-0.4	0	0	0	0	-0.701	0	0	0	-0.77	-0.603	0	0	-0.546	-0.831
16p	0	0	0	0	0	0	0	0	0	0	0	-0.627	0	-0.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.273	0	0	-0.497	0	0	-0.759	0	0	0	0	0	0	-0.502	-0.912	0	0	0	-0.467	0	0	0	-0.278	0	0	-0.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.639	0	0	0	0	0	0	-0.765	0.341	0	0	0	0	0	0	0.393	-0.698	0	-0.148	0	-0.653	0	0	0	0	0	-0.585	-0.803	0	0	0	0	0	0	0	0	0	0	0	-0.128	0	0	0	0	0	0	0	0	0	0	0	-0.218	0	0	0	0.118	0	-0.523	0	0	0	0	0	0	0	0.717	0	0	0	0	0	0	0	0	0	-0.561	0	0.376	0	0	0	0	0	0	0	0	0.219	0	0	0	0	0	0	0	0	0	-0.918	0	-0.39	0	0	0	0	0	0	0	0	0	0	0	0	-0.626	0	0	0	0	0	0	0	0	-0.519	-0.408	0	0.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.375	0	0	0	0	0	0	0	0	0	0	-0.3	0	0.581	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	-0.037	-0.758	-0.035	-0.774	0	0	0	0	0	0	0	0	0	0	0	-0.804	0	0	0	0	0	0	-0.69	0	0	0	0	-0.847	0	0	0	0	-0.798	-0.694	0	0	0	-0.783	0	0	0	0	0	0	0	0	0	0	-0.168	-0.592	0	0	0	0	0	0	-0.546	0.417	-0.817	0	0	-0.094	0	0	0	0	0	0	0	-0.814	0	0	0	-1.293	0	0	0	0	0.16	0	0	-0.824	0	0	0	0	0	0	0.191	0	0	0	-0.752	0.505	0	0	0	0
16q	0	0	0	0	0	0	0	0	-0.382	0	0	-0.755	0	-0.434	0	0	0	0	0	0	0	0	-0.61	0	0	0	0	0	0	-0.273	0	0	-0.497	0	0	-0.759	0	0	0	0	0	-0.709	-0.502	-0.912	0	0	0	-0.467	0	0	0	-0.278	0	0	-0.473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.39	0	0	0	0	0	0	0	0	0	-0.972	0	0	0	0	0	0	0	-0.639	0	0	0	0	0	0	-0.765	-0.53	0	0	0	0	0	-0.851	0.393	-0.698	-0.399	-0.148	0	-0.653	-0.833	0	0	-0.782	-0.567	-0.585	-0.803	0	0	-0.871	-0.852	0	0.861	0	-0.842	0.108	0	0	-0.128	0	0	0	0	0	0	0	0	0	-0.849	0	-0.218	0	0	0	-0.445	0	-0.523	0	0	0	0	0	0	0	0.717	0	0	0	0	0	0	0	0	0	-0.561	0	-0.186	0	0	0	0	0	0	0	0	-0.054	0	0	0	0	0	0	0	0	0	-0.918	0	-0.649	0	-0.687	0	0	0	0	0	-0.846	-0.743	0	0	0	-0.626	0	0	0	0	-0.66	0	0	0	-0.519	0	0	0	0	0	0	0	0	0	-0.338	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.375	0	0	0	0	0	0	0	0	0	0	-0.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.492	-0.758	-0.731	-0.774	0	0	0	0	0	0	0	0	0	0	0	-0.804	0	0	0	0	0	0	-0.84	0	0	0	0	-0.847	0	0	0	0	-0.798	-0.694	-0.774	0	0	-0.783	0	0	0	0	0	0	0	0	0	0	-0.547	-0.592	0	-0.359	0	0	0	0	-0.546	0.417	-0.817	0	0	-0.442	0	0	0	0	0	0	0	-0.814	0	0	0	-1.293	0	0	0	0	0.16	0	0	-0.824	0	-0.328	0	0	-0.806	0	0.191	0	0	0	-0.752	-0.616	-0.515	0	0	0
17p	0	0	0	0	0	0	0	0	0	0	0	-0.742	0	-0.422	0	0	-0.454	0	0	0	0	-0.614	0.236	0	0	0	0	0	0	-0.116	0	0	-0.559	0	0	0	-0.971	0	0	0	-0.853	-0.656	-0.496	0	0	0	0	-0.538	-0.482	0	0	0	0	-0.841	-0.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.262	0	0	0	0	0	0	-0.84	0	0	0	0	0	0	0	0	0	0	-0.636	0	0	0	0	0	0	-0.716	0.523	0	0	0	0.798	0	-0.819	-0.58	0	0	0	0	-0.307	0	0	0	0	0	-0.577	-0.789	-0.714	0	0	-0.837	0	-0.938	0	0.347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.636	0	0	0	0	0	-0.243	0	-0.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.315	0	-0.536	0	0	0	0	0	0.68	-0.461	0	-0.466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.595	0	0	0	0	0	0	0	0	0.504	-0.412	0	-0.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.377	0	0	0	0	-0.722	0	0	0	0	0	-0.768	0	0	0	-0.356	0	0	0	0	0	0	0	0	0	-0.567	0	0	0	0	-0.727	0	-0.691	0	0	0	-0.687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.733	-0.58	-0.733	0	0	0.243	0	0	0	0	0	0	0	0	0	0	-0.338	-0.556	0	-0.396	0	0	0	0	-0.529	-0.828	-0.77	0	0	-0.425	0	0	0	0	0	0	0	-0.819	0.449	0	0	-0.646	-0.587	0	0	0	-0.79	0	0	-0.761	-0.789	0	0	0	-0.765	0	-0.666	0	0	0	0	0	0	0	-0.548	0
